"Name","Id","ResourceCategoryId","IsActive"
"1173 Trysilbua ","9fb7987c-ed27-41fe-8a80-b31b00c5fde7",,"True"
"12A Trysiltunet ","8cce2c8b-8ca5-489f-9c6a-b355008c8a93",,"True"
"12B Trysiltunet ","d8cce4ac-c9aa-4f5a-b394-b31b00c867eb",,"True"
"14 Vestsidevegen ","53a65e20-c1e5-4b0c-83e6-b3bb00bb1da6",,"True"
"16A Trysiltunet ","155769ec-d725-4fdc-b001-b31b00c84d03",,"True"
"17A Bakkebygrenda ","95e40a70-0e45-4c32-86ed-b31b00c8349d",,"True"
"34B Trysil","d8b3982a-2f94-463c-baab-b31b00c8880b",,"True"
"981D Fageråsen (B2)","9bd6bdf6-aad0-4364-af77-b355008d07f7",,"True"
"Bjønnåsen 64 ","4bb026a9-be38-4de4-b3e0-b38d0095879d",,"True"
"Demo: din hytte Högfjället","b1d7a7e0-e410-409d-b180-b32c00a7dae2",,"True"
"Demo: din hytte Lindvallen","add23c30-d56e-493c-a112-b32c00a7b2ad",,"True"
"Demo: din hytte Tandådalen","deb7cf50-b3a9-46f0-bca4-b32c00a7fafe",,"True"
"Fagerhøy 1181","ca099e4f-0ce7-452c-bda3-b31b00c8abc0",,"True"
"Lintunet 721B","4e85c9cf-2964-4392-b8f9-b32c00a44910",,"True"
"Room 726","2e50cd0b-8555-4466-b7d4-b34c006dfe07",,"True"
"Trysilbua 8 sengs","bd06103f-184b-4e18-b522-b3f30094beb6",,"True"
"Trysiltunet 6D","deeca9aa-de02-44fb-ad32-b38d0096590e",,"True"
"Ugla 917 Trysilfjell Hytteområde","2c3a4ad5-1001-4214-bead-b32c00a547d2",,"True"
