"Name","ResourceCategoryId","ServiceName"
"Harevadet 52 UT","3993de9f-2871-4e82-82cc-b16301175b0c","Stranda"
"Harevadet 78","d176e9f4-ecd6-46bc-990e-b16300e9d3fb","Stranda"
"Koie Lavvo","7004da20-f4ac-414b-a613-b2ae00ebf4c3","Stranda"
"Lastølen B5/S2 (3 bedrooms)","c2530b78-8c5b-4fc8-b39f-b22001158262","Stranda"
"Lastølen B9/N2 (2 bedrooms)","6ddde6fb-48f1-485b-bfbd-b220011453e9","Stranda"
"Meraftahornvegen 36","61828191-7030-42af-b185-b40400914502","Stranda"
"Mountain View Apartment 201","57011669-35e7-4ac9-8f76-b3e100d7f92e","Stranda"
"Mountain View Apartments 205","072be395-785f-4b0e-bcc4-b18000cd2855","Stranda"
"Rorbu","34993a51-69ec-469e-bb25-b1950040d184","Stranda"
"Stranda Fjellgrend 12A (3 bedrooms)","f562e533-1f85-4aeb-a92f-b1fe007f2f5a","Stranda"
"Stranda Fjellgrend 14B (2 bedrooms + loft)","b92f07ae-6e35-4673-b510-b1fe007ec8d8","Stranda"
"Stranda Fjellgrend 16A (3 bedrooms)","94744891-65a9-46cb-958b-b2e2013a2b68","Stranda"
"Stranda Fjellgrend 20A (3 bedrooms)","cb1926a5-359d-4852-8f0c-b22001028f86","Stranda"
"Stranda Fjellgrend 22A (3 bedrooms) UT","b1e5b34a-441d-4aad-8db9-b2200102b10c","Stranda"
"Stranda Fjellgrend 24A (3 bedrooms)","b9ffaad9-33ce-41a6-99e9-b1fe007f6bf3","Stranda"
"Stranda Fjellgrend 24B (2 bedrooms + loft)","7ccdf353-6e3c-4c80-9a85-b2200101d802","Stranda"
"Stranda Fjellgrend 30A (3 bedrooms)","078c0ded-070b-4549-9888-b2200102d754","Stranda"
"Stranda Fjellgrend 31D (2 bedrooms + loft)","eb8791bf-154c-4a43-bf7f-b2200101f2f1","Stranda"
"Stranda Fjellgrend 32A (3 bedrooms)","8b70ecf1-22c8-483e-978b-b22001032d04","Stranda"
"Stranda Fjellgrend 32B (2 bedrooms + loft)","8f0f3f35-8d0f-450f-94d3-b2200102131d","Stranda"
"Stranda Fjellgrend 35C (2 bedrooms)","2e9c5ee7-ce70-4d66-b989-b1fd01497063","Stranda"
"Stranda Fjellgrend 36A (3 bedrooms)","3ecdc463-cb28-406e-b861-b22001038a3e","Stranda"
"Stranda Fjellgrend 36B (2 bedrooms + loft)","7faa5b6a-b932-4c8b-84a1-b220011a208b","Stranda"
"Stranda Fjellgrend 38A (3 bedrooms)","cd7f1c5d-f955-4833-a763-b2200103a395","Stranda"
"Stranda Fjellgrend 42A (3 bedrooms)","fed281d6-98c0-4a02-813e-b2200104b676","Stranda"
"Stranda Fjellgrend 44A (3 bedrooms)","3fde86d5-5647-42fe-9787-b22001051a85","Stranda"
"Stranda Fjellgrend 44B (3 bedrooms)","88660a5f-6180-48bb-a0d8-b22001052d76","Stranda"
"Stranda Fjellgrend 46A (3 bedrooms)","4c37ce32-956f-4b7a-95f5-b2e20139d9e3","Stranda"
"Stranda Fjellgrend 50A (2 bedrooms)","7f9787f5-fd52-4ac6-bbbc-b1fd0149aa91","Stranda"
"Stranda Fjellgrend 64A (2 bedrooms)","84cecb52-8c0d-40d3-add6-b1fd0149be97","Stranda"
"Stranda Fjellgrend 68A (3 bedrooms & 2 bathrooms)","40d58bdf-78cb-4b0a-8088-b220010720e6","Stranda"
"Stranda Fjellgrend 68B (3 bedrooms & 2 bathrooms)","64f8ee64-43e4-48df-87b7-b22001073aa6","Stranda"
"Stranda Fjellgrend 72A (2 bedrooms)","402fbc75-067a-4b1b-90f7-b1fd0149e5a3","Stranda"
"Stranda Fjellgrend 76B (2 bedrooms)","7f06b9a5-9306-42b4-a2d8-b1fd014a15fc","Stranda"
"Stranda Fjellgrend 78A (2 bedrooms)","ace31d40-13b3-4b3c-89fb-b1fd014a2f71","Stranda"
"Stranda Fjellgrend 78B (2 bedrooms)","fa403170-337c-4524-a138-b1fd014a4eaf","Stranda"
"Stranda Fjellgrend 80A (3 bedrooms)","f9005eee-bb8f-47e4-b658-b22001059b2d","Stranda"
"Stranda Fjellgrend 80B (3 bedrooms)","455a479a-9a9e-4834-bd7f-b2200105b011","Stranda"
"Stranda Fjellgrend 82A (3 bedrooms)","e3710ff1-4335-4b55-a431-b2200101b325","Stranda"
"Stranda Fjellgrend 96B (2 bedrooms + loft)","c263fced-db8b-446c-a1a8-b411008b38ae","Stranda"
"Stranda Fjellgrend 98B (2 bedrooms + loft)","a8301687-1af8-4ea4-9ce0-b2e20145e011","Stranda"
"Sunnmøre Getaway UT","4688ca1a-0bca-4338-9e7c-b25e00b42cdf","Stranda"
